Index	Info	Parent node
1        S           0 

2        B           1 

3        A           1 

4        D           2 

5        C           2 

6        a           4 

7        *           5 

8        D           5 

9        C           5 

10       (           8 

11       S           8 

12       )           8 

13       B           11

14       A           11

15       D           13

16       C           13

17       a           15

18       EPSILON     16

19       +           14

20       B           14

21       A           14

22       D           20

23       C           20

24       a           22

25       EPSILON     23

26       EPSILON     21

27       EPSILON     9 

28       EPSILON     3 

